Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
1n;0;1;b-;;;614 s;1/2+;
1H;1;0;stable;;;stable;1/2+;99.985
2H;1;1;stable;;;stable;1+;0.015
3H;1;2;b-;;;12.32 y;1/2+;
4H;1;3;n;;;139 ys;2-;
5H;1;4;n;;;86 ys;(1/2+);
6H;1;5;n;;;294 ys;2-;
7H;1;6;n;;;652 ys;1/2+;
2He;2;0;p;;;< 1E-9 s;0+;
3He;2;1;stable;;;stable;1/2+;0.0002
4He;2;2;stable;;;stable;0+;99.9998
5He;2;3;n;;;6.02E-22 s;3/2-;
6He;2;4;b-;;;806.92 ms;0+;
7He;2;5;n;;;2.51E-21 s;(3/2)-;
8He;2;6;b-;;;119.5 ms;0+;
9He;2;7;n;;;2.5E-21 s;1/2(+);
10He;2;8;n;;;2.6E-22 s;0+;
4Li;3;1;p;;;91 ys;2-;
5Li;3;2;p;;;370 ys;3/2-;
6Li;3;3;stable;;;stable;1+;7.5
7Li;3;4;stable;;;stable;3/2-;92.5
8Li;3;5;b-;;;838.7 ms;2+;
9Li;3;6;b-;;;178.2 ms;3/2-;
10Li;3;7;n;;;2 zs;(1-, 2-);
11Li;3;8;b-;;;8.75 ms;3/2-;
12Li;3;9;n;;;< 10 ns;(1-, 2-);
13Li;3;10;n;;;3.3 zs;3/2-;
6Be;4;2;p;;;5 zs;0+;
7Be;4;3;EC;;;53.22 d;3/2-;
8Be;4;4;a;;;81.9 as;0+;
9Be;4;5;stable;;;stable;3/2-;100
10Be;4;6;b-;;;1.387E+6 y;0+;
11Be;4;7;b-;;;13.76 s;1/2+;
12Be;4;8;b-;;;21.46 ms;0+;
13Be;4;9;n;;;1 zs;(1/2-);
14Be;4;10;b-;;;4.53 ms;0+;
15Be;4;11;n;;;790 ys;(5/2+);
16Be;4;12;n;;;650 ys;0+;
7B;5;2;p;;;570 ys;(3/2-);
8B;5;3;b+;;;771.9 ms;2+;
9B;5;4;p;;;800 zs;3/2-;
10B;5;5;stable;;;stable;3+;19.9
11B;5;6;stable;;;stable;3/2-;80.1
12B;5;7;b-;;;20.2 ms;1+;
13B;5;8;b-;;;17.16 ms;3/2-;
14B;5;9;b-;;;12.36 ms;2-;
15B;5;10;b-;;;10.18 ms;3/2-;
16B;5;11;n;;;> 4.6 zs;0-;
17B;5;12;b-;;;5.08 ms;(3/2-);
18B;5;13;n;;;< 26 ns;(2-);
19B;5;14;b-;;;2.92 ms;(3/2-);
20B;5;15;n;;;> 912.4 ys;(1-, 2-);
21B;5;16;n;;;> 760 ys;(3/2-);
8C;6;2;p;;;3.5 zs;0+;
9C;6;3;b+;;;126.5 ms;3/2-;
10C;6;4;b+;;;19.3011 s;0+;
11C;6;5;b+;;;20.3402 min;3/2-;
12C;6;6;stable;;;stable;0+;98.90
13C;6;7;stable;;;stable;1/2-;1.10
14C;6;8;b-;;;5.7E+3 y;0+;
15C;6;9;b-;;;2.449 s;1/2+;
16C;6;10;b-;;;750 ms;0+;
17C;6;11;b-;;;193 ms;3/2+;
18C;6;12;b-;;;92 ms;0+;
19C;6;13;b-;;;46.2 ms;1/2+;
20C;6;14;b-;;;16 ms;0+;
21C;6;15;n;;;<30 ns;;
22C;6;16;b-;;;6.2 ms;0+;
9N;7;2;p;;;< 1 as;;
10N;7;3;p;;;143 ys;1-;
11N;7;4;p;;;585 ys;1/2+;
12N;7;5;b+;;;11 ms;1+;
13N;7;6;b+;;;9.965 min;1/2-;
14N;7;7;stable;;;stable;1+;99.634
15N;7;8;stable;;;stable;1/2-;0.366
16N;7;9;b-;;;7.13 s;2-;
17N;7;10;b-;;;4.173 s;1/2-;
18N;7;11;b-;;;619.2 ms;1-;
19N;7;12;b-;;;336 ms;1/2-;
20N;7;13;b-;;;136 ms;(2-);
21N;7;14;b-;;;85 ms;(1/2-);
22N;7;15;b-;;;23 ms;0-;
23N;7;16;b-;;;13.9 ms;1/2-;
24N;7;17;n;;;<52 ns;;
11O;8;3;p;;;198 ys;(3/2-);
12O;8;4;p;;;8.9 zs;0+;
13O;8;5;b+;;;8.58 ms;(3/2-);
14O;8;6;b+;;;70.621 s;0+;
15O;8;7;b+;;;122.266 s;1/2-;
16O;8;8;stable;;;stable;0+;99.762
17O;8;9;stable;;;stable;5/2+;0.038
18O;8;10;stable;;;stable;0+;0.200
19O;8;11;b-;;;26.47 s;5/2+;
20O;8;12;b-;;;13.51 s;0+;
21O;8;13;b-;;;3.42 s;(5/2+);
22O;8;14;b-;;;2.25 s;0+;
23O;8;15;b-;;;97 ms;1/2+;
24O;8;16;b-;;;77.4 ms;0+;
25O;8;17;n;;;5.18 zs;3/2+;
26O;8;18;n;;;4.2 ps;0+;
27O;8;19;n;;;> 2.5 zs;(3/2+, 7/2-);
28O;8;20;n;;;> 650 ys;0+;
13F;9;4;p;;;;1/2+;
14F;9;5;p;;;500 ys;2-;
15F;9;6;p;;;1.1 zs;1/2+;
16F;9;7;p;;;21 zs;0-;
17F;9;8;b+;;;64.37 s;5/2+;
18F;9;9;b+;;;109.734 min;1+;
19F;9;10;stable;;;stable;1/2+;100
20F;9;11;b-;;;11.0062 s;2+;
21F;9;12;b-;;;4.158 s;5/2+;
22F;9;13;b-;;;4.23 s;(4+);
23F;9;14;b-;;;2.23 s;5/2+;
24F;9;15;b-;;;384 ms;3+;
25F;9;16;b-;;;80 ms;(5/2+);
26F;9;17;b-;;;8.2 ms;1+;
27F;9;18;b-;;;5 ms;5/2+;
28F;9;19;n;;;46 zs;(4-);
29F;9;20;b-;;;2.5 ms;(5/2+);
30F;9;21;n;;;0.96 zs;;
31F;9;22;b-;;;2 ms;5/2+;
15Ne;10;5;p;;;770 ys;(3/2-);
16Ne;10;6;p;;;> 5.7 zs;0+;
17Ne;10;7;b+;;;109.2 ms;1/2-;
18Ne;10;8;b+;;;1.6642 s;0+;
19Ne;10;9;b+;;;17.2569 s;1/2+;
20Ne;10;10;stable;;;stable;0+;90.48
21Ne;10;11;stable;;;stable;3/2+;0.27
22Ne;10;12;stable;;;stable;0+;9.25
23Ne;10;13;b-;;;37.15 s;5/2+;
24Ne;10;14;b-;;;3.38 min;0+;
25Ne;10;15;b-;;;602 ms;1/2+;
26Ne;10;16;b-;;;197 ms;0+;
27Ne;10;17;b-;;;30.9 ms;(3/2+);
28Ne;10;18;b-;;;18.8 ms;0+;
29Ne;10;19;b-;;;14.7 ms;(3/2-);
30Ne;10;20;b-;;;7.22 ms;0+;
31Ne;10;21;b-;;;3.4 ms;(3/2-);
32Ne;10;22;b-;;;3.5 ms;0+;
33Ne;10;23;n;;;<180 ns;;
34Ne;10;24;b-;;;2 ms;0+;
17Na;11;6;p;;;;(1/2+);
18Na;11;7;p;;;1.3 zs;1-;
19Na;11;8;p;;;> 1 as;(5/2+);
20Na;11;9;b+;;;447.9 ms;2+;
21Na;11;10;b+;;;22.455 s;3/2+;
22Na;11;11;b+;;;2.6019 y;3+;
23Na;11;12;stable;;;stable;3/2+;100
24Na;11;13;b-;;;14.956 h;4+;
25Na;11;14;b-;;;59.1 s;5/2+;
26Na;11;15;b-;;;1.07128 s;3+;
27Na;11;16;b-;;;301 ms;5/2+;
28Na;11;17;b-;;;33.1 ms;1+;
29Na;11;18;b-;;;43.2 ms;3/2+;
30Na;11;19;b-;;;45.9 ms;2+;
31Na;11;20;b-;;;16.8 ms;3/2+;
32Na;11;21;b-;;;12.9 ms;(3-);
33Na;11;22;b-;;;8.2 ms;(3/2+);
34Na;11;23;b-;;;5.5 ms;1+;
35Na;11;24;b-;;;1.5 ms;3/2+;
36Na;11;25;n;;;;;
37Na;11;26;b-;;;1 ms;3/2+;
39Na;11;28;b-;;;1 ms;3/2+;
18Mg;12;6;p;;;4 zs;0+;
19Mg;12;7;p;;;5 ps;1/2-;
20Mg;12;8;b+;;;90.4 ms;0+;
21Mg;12;9;b+;;;120 ms;5/2+;
22Mg;12;10;b+;;;3.8745 s;0+;
23Mg;12;11;b+;;;11.3039 s;3/2+;
24Mg;12;12;stable;;;stable;0+;78.99
25Mg;12;13;stable;;;stable;5/2+;10.00
26Mg;12;14;stable;;;stable;0+;11.01
27Mg;12;15;b-;;;9.435 min;1/2+;
28Mg;12;16;b-;;;20.915 h;0+;
29Mg;12;17;b-;;;1.3 s;3/2+;
30Mg;12;18;b-;;;317 ms;0+;
31Mg;12;19;b-;;;270 ms;1/2+;
32Mg;12;20;b-;;;80.4 ms;0+;
33Mg;12;21;b-;;;92 ms;3/2-;
34Mg;12;22;b-;;;44.9 ms;0+;
35Mg;12;23;b-;;;11.3 ms;(3/2-, 5/2-);
36Mg;12;24;b-;;;3.9 ms;0+;
37Mg;12;25;b-;;;8 ms;(3/2-);
38Mg;12;26;b-;;;3.1 ms;0+;
39Mg;12;27;n;;;<180 ns;;
40Mg;12;28;b-;;;1 ms;0+;
20Al;13;7;p;;;> 1.1 zs;(1-);
21Al;13;8;p;;;> 1.1 zs;(5/2+);
22Al;13;9;b+;;;91.1 ms;(4)+;
23Al;13;10;b+;;;446 ms;5/2+;
24Al;13;11;b+;;;2.053 s;4+;
25Al;13;12;b+;;;7.1666 s;5/2+;
26Al;13;13;b+;;;7.17E+5 y;5+;
27Al;13;14;stable;;;stable;5/2+;100
28Al;13;15;b-;;;2.245 min;3+;
29Al;13;16;b-;;;6.56 min;5/2+;
30Al;13;17;b-;;;3.62 s;3+;
31Al;13;18;b-;;;644 ms;5/2+;
32Al;13;19;b-;;;32.6 ms;1+;
33Al;13;20;b-;;;41.46 ms;5/2+;
34Al;13;21;b-;;;53.73 ms;4-;
35Al;13;22;b-;;;38.16 ms;(5/2+, 3/2+);
36Al;13;23;b-;;;90 ms;;
37Al;13;24;b-;;;11.4 ms;5/2+;
38Al;13;25;b-;;;9 ms;0-;
39Al;13;26;b-;;;7.6 ms;5/2+;
40Al;13;27;b-;;;5.7 ms;;
41Al;13;28;b-;;;3.5 ms;5/2+;
42Al;13;29;b-;;;3 ms;;
43Al;13;30;b-;;;4 ms;5/2+;
22Si;14;8;b+;;;28.7 ms;0+;
23Si;14;9;b+;;;42.3 ms;3/2+;
24Si;14;10;b+;;;143.2 ms;0+;
25Si;14;11;b+;;;220.6 ms;5/2+;
26Si;14;12;b+;;;2.2453 s;0+;
27Si;14;13;b+;;;4.117 s;5/2+;
28Si;14;14;stable;;;stable;0+;92.23
29Si;14;15;stable;;;stable;1/2+;4.67
30Si;14;16;stable;;;stable;0+;3.10
31Si;14;17;b-;;;157.16 min;3/2+;
32Si;14;18;b-;;;157 y;0+;
33Si;14;19;b-;;;6.18 s;3/2+;
34Si;14;20;b-;;;2.77 s;0+;
35Si;14;21;b-;;;780 ms;7/2-;
36Si;14;22;b-;;;503 ms;0+;
37Si;14;23;b-;;;141 ms;(5/2-);
38Si;14;24;b-;;;63 ms;0+;
39Si;14;25;b-;;;41.2 ms;(5/2-);
40Si;14;26;b-;;;31.2 ms;0+;
41Si;14;27;b-;;;20 ms;7/2-;
42Si;14;28;b-;;;15.5 ms;0+;
43Si;14;29;b-;;;13 ms;3/2-;
44Si;14;30;b-;;;4 ms;0+;
45Si;14;31;b-;;;4 ms;3/2-;
46Si;14;32;b-;;;;;
24P;15;9;p;;;;;
25P;15;10;p;;;;;
26P;15;11;b+;;;43.6 ms;(3)+;
27P;15;12;b+;;;260 ms;1/2+;
28P;15;13;b+;;;270.3 ms;3+;
29P;15;14;b+;;;4.102 s;1/2+;
30P;15;15;b+;;;2.5 min;1+;
31P;15;16;stable;;;stable;1/2+;100
32P;15;17;b-;;;14.269 d;1+;
33P;15;18;b-;;;25.35 d;1/2+;
34P;15;19;b-;;;12.43 s;1+;
35P;15;20;b-;;;47.3 s;1/2+;
36P;15;21;b-;;;5.6 s;4-;
37P;15;22;b-;;;2.31 s;(1/2+);
38P;15;23;b-;;;0.64 s;(2-);
39P;15;24;b-;;;282 ms;(1/2+);
40P;15;25;b-;;;150 ms;(2-,3-);
41P;15;26;b-;;;101 ms;1/2+;
42P;15;27;b-;;;48.5 ms;;
43P;15;28;b-;;;35.8 ms;(1/2+);
44P;15;29;b-;;;18.5 ms;;
45P;15;30;b-;;;24 ms;1/2+;
46P;15;31;b-;;;9 ms;;
47P;15;32;b-;;;4 ms;1/2+;
26S;16;10;p;;;;;
27S;16;11;b+;;;16.3 ms;(5/2+);
28S;16;12;b+;;;125 ms;0+;
29S;16;13;b+;;;188 ms;5/2+;
30S;16;14;b+;;;1.1798 s;0+;
31S;16;15;b+;;;2.5534 s;1/2+;
32S;16;16;stable;;;stable;0+;95.02
33S;16;17;stable;;;stable;3/2+;0.75
34S;16;18;stable;;;stable;0+;4.21
35S;16;19;b-;;;87.37 d;3/2+;
36S;16;20;stable;;;stable;0+;0.02
37S;16;21;b-;;;5.05 min;7/2-;
38S;16;22;b-;;;170.3 min;0+;
39S;16;23;b-;;;11.5 s;(7/2)-;
40S;16;24;b-;;;8.8 s;0+;
41S;16;25;b-;;;1.99 s;7/2-;
42S;16;26;b-;;;1.016 s;0+;
43S;16;27;b-;;;265 ms;3/2-;
44S;16;28;b-;;;100 ms;0+;
45S;16;29;b-;;;68 ms;3/2-;
46S;16;30;b-;;;50 ms;0+;
47S;16;31;b-;;;24 ms;3/2-;
48S;16;32;b-;;;10 ms;0+;
49S;16;33;n;;;4 ms;1/2-;
28Cl;17;11;p;;;;1+;
29Cl;17;12;p;;;5.4 zs;(1/2+);
30Cl;17;13;p;;;< 50 ns;3+;
31Cl;17;14;b+;;;190 ms;3/2+;
32Cl;17;15;b+;;;298 ms;1+;
33Cl;17;16;b+;;;2.5038 s;3/2+;
34Cl;17;17;b+;;;1.5267 s;0+;
35Cl;17;18;stable;;;stable;3/2+;75.77
36Cl;17;19;b-: 98.1%;b+: 1.9%;;3.013E+5 y;2+;
37Cl;17;20;stable;;;stable;3/2+;24.23
38Cl;17;21;b-;;;37.23 min;2-;
39Cl;17;22;b-;;;56.2 min;3/2+;
40Cl;17;23;b-;;;1.35 min;2-;
41Cl;17;24;b-;;;38.4 s;(1/2+);
42Cl;17;25;b-;;;6.8 s;(2-);
43Cl;17;26;b-;;;3.13 s;(3/2+);
44Cl;17;27;b-;;;0.56 s;(2-);
45Cl;17;28;b-;;;513 ms;(3/2+);
46Cl;17;29;b-;;;232 ms;2-;
47Cl;17;30;b-;;;101 ms;3/2+;
48Cl;17;31;b-;;;30 ms;;
49Cl;17;32;b-;;;35 ms;3/2+;
50Cl;17;33;b-;;;10 ms;;
51Cl;17;34;b-;;;5 ms;3/2+;
52Cl;17;35;b-;;;2 ms;;
29Ar;18;11;p;;;;5/2+;
30Ar;18;12;p;;;< 10 ps;0+;
31Ar;18;13;b+;;;15 ms;5/2+;
32Ar;18;14;b+;;;98 ms;0+;
33Ar;18;15;b+;;;173 ms;1/2+;
34Ar;18;16;b+;;;846.46 ms;0+;
35Ar;18;17;b+;;;1.7756 s;3/2+;
36Ar;18;18;stable;;;stable;0+;0.337
37Ar;18;19;EC;;;35.011 d;3/2+;
38Ar;18;20;stable;;;stable;0+;0.063
39Ar;18;21;b-;;;302 y;7/2-;
40Ar;18;22;stable;;;stable;0+;99.600
41Ar;18;23;b-;;;109.61 min;7/2-;
42Ar;18;24;b-;;;32.9 y;0+;
43Ar;18;25;b-;;;5.37 min;5/2(-);
44Ar;18;26;b-;;;11.87 min;0+;
45Ar;18;27;b-;;;21.48 s;(5/2-,7/2-);
46Ar;18;28;b-;;;8.4 s;0+;
47Ar;18;29;b-;;;1.23 s;(3/2)-;
48Ar;18;30;b-;;;415 ms;0+;
49Ar;18;31;b-;;;236 ms;3/2-;
50Ar;18;32;b-;;;106 ms;0+;
51Ar;18;33;b-;;;30 ms;1/2-;
52Ar;18;34;b-;;;40 ms;0+;
53Ar;18;35;b-;;;20 ms;5/2-;
54Ar;18;36;b-;;;5 ms;0+;
31K;19;12;p;;;< 10 ps;3/2+;
32K;19;13;p;;;;;
33K;19;14;p;;;;;
34K;19;15;p;;;;;
35K;19;16;b+;;;175.2 ms;3/2+;
36K;19;17;b+;;;341 ms;2+;
37K;19;18;b+;;;1.23651 s;3/2+;
38K;19;19;b+;;;7.651 min;3+;
39K;19;20;stable;;;stable;3/2+;93.2581
40K;19;21;b-: 89.3%;b+: 10.7%;;1.248E+9 y;4-;0.0117
41K;19;22;stable;;;stable;3/2+;6.7302
42K;19;23;b-;;;12.355 h;2-;
